NOTICE: pid::13176 2016-10-23 14:51:01     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477205461216228,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:51:37     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477205497945386,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:52:52     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477205572866776,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:53:38     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477205618767059,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:53:45     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477205625459589,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:53:46     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477205626561746,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 14:53:53     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477205633260507,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 15:06:22     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477206382149937,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 15:09:13     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477206553192417,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 15:09:37     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477206577501457,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 15:12:37     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477206757200589,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 15:13:37     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477206817561554,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 15:14:01     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477206841302823,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 15:14:11     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477206851717113,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 15:14:19     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477206859482412,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 15:14:27     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477206867795690,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 15:16:57     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477207017469263,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::13176 2016-10-23 15:17:10     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477207030658696,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
